CODIGO_PRODUTO,DESCRICAO_MATERIAL,TEXTO_DESCRITIVO
57991,JG ESTRELA PULA MACACO 1001607100026/31,"JG ESTRELA PULA MACACO 1001607100026/31 . Categoria: BRINQUEDOS > JOGOS_DIVERSOS_BRINQUEDOS . Preço final: R$ 67.00 . Descrição do produto: Jogo Pula Macaco Estrela 1001607100026 Acerte os macacos no galho das árvores com a ajuda de trampolins. Quem acertar mais macacos ganha a competição. Chame os seus amigos, irmãos e até mesmo os pais para entrarem nessa brincadeira. Pula Macaco um jogo que vai fazer vocês passarem momentos engraçados e alegres. Aproveite e entre nessa brincadeira! / Garantia do Fabricante:03 meses / Marca:Estrela / Linha:Agilidade lógica e raciocínio / Modelo:Pula Macaco / Referência:1001607100026 / Cor:Multicor / Material:Plástico  / Faixa Etária:A partir de 4 anos / Nº de Participantes:De 2 ã 4 participantes / Conteúdo da Embalagem:Contém 01 tronco, 02 copas, 04 lança macacos, 16 macaquinhos, 16 bananas de cartão e 01 folha de adevisos / Dimensões da Embalagem (AxLxP):35 x 29 x 8 cm / Peso da Caixa:556 g / EAN:7896027528145 / Aviso: . Avaliado por 337 clientes, com nota média de 4.8 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""diversão"",""educativo"",""interativo"",""qualidade"",""satisfação"",""nostalgia"",""recomendação"",""fácil de usar"",""prático"",""resistência""],""Caracteristicas_Negativas"":[""preço alto"",""qualidade dos adesivos""]} . Clientes também compraram: 140971 - BONECA MATTEL BB FASHION T7439 SORT, 233460 - BONECO HASBRO UNIVERSO MARVEL F6607 SORT, 179996 - JG MATTEL CARTAS UNO ORIGINAL W2085, 231394 - KIT LIVRO DE COLORIR POSTER+GIZ DE CERA, 51156 - CARRO MATTEL HW CITY MINI C/5 1806 SORT ."
84806,JG GROW ABC ANIMADO 01704,"JG GROW ABC ANIMADO 01704 . Categoria: BRINQUEDOS > EDUCATIVO_PRE_ESCOLAR . Preço final: R$ 55.00 . Descrição do produto: Jogo Grow ABC Animado / Garantia do Fabricante:03 Meses / Marca:Grow / Modelo:Jogo ABC Animado / Referência:01704 / Material:Cartonado / Faixa Etária:A partir de 4 anos / Número de Participantes:2 a 4 participantes / Conteúdo da Embalagem:01 Jogo ABC Animado / EAN:7908010117042 / Aviso: . Avaliado por 269 clientes, com nota média de 4.9 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""educativo"",""divertido"",""prático"",""didático"",""de boa qualidade"",""bom custo-benefício"",""interativo"",""resistente"",""ilustrativo"",""recomendado""],""Caracteristicas_Negativas"":[""fragilidade"",""material frágil"",""dificuldade de uso"",""durabilidade baixa""]} . Clientes também compraram: 84816 - JG GROW MEMÓRIA SÍLABAS 01698, 84818 - JG GROW SOLETRANDO 01690, 194582 - JG GROW LINCE 432, 231394 - KIT LIVRO DE COLORIR POSTER+GIZ DE CERA, 213877 - BLOCO DISMAT GIRO MÁGICO MK326 ."
84816,JG GROW MEMÓRIA SÍLABAS 01698,"JG GROW MEMÓRIA SÍLABAS 01698 . Categoria: BRINQUEDOS > EDUCATIVO_PRE_ESCOLAR . Preço final: R$ 46.00 . Descrição do produto: Jogo Memória Sílabas Grow 01698 / Garantia do Fabricante:03 Meses / Marca:Grow / Modelo:Jogo Memória Sílabas / Referência:01698 / Material:Cartonado / Faixa Etária:A partir de 6 anos / Conteúdo da Embalagem:01 Jogo Memória Sílabas / EAN:7908010116984 / Aviso: . Avaliado por 198 clientes, com nota média de 4.9 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""educativo"",""qualidade"",""diversão"",""interatividade"",""desenvolvimento"",""satisfação"",""recomendação"",""praticidade"",""custo benefício"",""segurança""],""Caracteristicas_Negativas"":[""fragilidade"",""falta de uso""]} . Clientes também compraram: 84818 - JG GROW SOLETRANDO 01690, 84806 - JG GROW ABC ANIMADO 01704, 231394 - KIT LIVRO DE COLORIR POSTER+GIZ DE CERA, 176812 - QUEBRA-CABEÇA GROW 100P DINOSSAURO 02660, 179996 - JG MATTEL CARTAS UNO ORIGINAL W2085 ."
107672,PICK-UP ROMA VISION C/MOTO 1115,"PICK-UP ROMA VISION C/MOTO 1115 . Categoria: BRINQUEDOS > CARRINHOS_CIA . Preço final: R$ 94.00 . Descrição do produto: Carrinho de Brinquedo Pick-Up com Moto Roma 1115 Cores Sortidas. Atenção:Modelos sortidos vendidos de acordo com a disponibilidade em estoque. Não é possível escolher o modelo em nossa loja online. Garantia do Fabricante:03 meses. Marca:Roma. Modelo:Vision com Moto. Referência:1115. Cor:Sortidas. Material:Plástico. Faixa etária:+03 a 04 anos . Funcionamento:Manual. Conteúdo da Embalagem:01 Carrinho Pick Up com Moto. Dimensões do Produto (AxLxP):10 x 14 x 5,8cm. Peso do Produto:580g. EAN:7896965211154. Aviso: . Avaliado por 689 clientes, com nota média de 4.8 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""qualidade"",""resistência"",""beleza"",""diversão"",""praticidade"",""bom preço"",""atendimento"",""satisfação""],""Caracteristicas_Negativas"":[""fragilidade"",""dificuldade de durabilidade"",""peças soltas""]} . Clientes também compraram: 140971 - BONECA MATTEL BB FASHION T7439 SORT, 136825 - CARRO ROMA BRUTALE BOMBEIRO 1510, 200493 - CARRO ROMA PICK UP FORCE POLICE 991, 222936 - CAMINHÃO ROMA PETROLEUM CEGONH 1470 SORT, 51156 - CARRO MATTEL HW CITY MINI C/5 1806 SORT ."
112622,CARRO MATTEL HW MINI C/10 54886 SORT,"CARRO MATTEL HW MINI C/10 54886 SORT . Categoria: BRINQUEDOS > CARRINHOS_CIA . Preço final: R$ 178.00 . Descrição do produto: Conjunto de Carrinhos Hot Wheels Mattel Com 10 Carrinhos 54886 Sortido. Garantia do Fabricante:03 Meses. Marca:Mattel. Modelo:Carro Hot Wheels. Referência:54886. Material:Plástico. Faixa Etária:A partir de 4 anos. Conteúdo da Embalagem:10 Carros Hot Wheels. EAN:74299548864. Aviso:. Atenção:Modelos sortidos vendidos de acordo com a disponibilidade em estoque. Não é possível escolher o modelo em nossa loja online . Avaliado por 342 clientes, com nota média de 4.9 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""qualidade"",""durabilidade"",""beleza"",""variedade"",""design"",""resistência"",""satisfação"",""opção de presente"",""preço acessível""],""Caracteristicas_Negativas"":[""descascamento"",""tamanho inadequado""]} . Clientes também compraram: 51156 - CARRO MATTEL HW CITY MINI C/5 1806 SORT, 201806 - CARRO MATTEL HW MONSTER TRUCK FYJ44 SORT, 175035 - PISTA MATTEL HW ESTAÇÃO CIENTÍFICA CCP76, 196469 - PISTA MATTEL HW LANC BÁSIC C/CARRO FTH84, 211645 - PISTA MATTEL HW CAMPEONATO GBF81 SORT ."
125391,MALETA ROMA FOGÃO 5301,"MALETA ROMA FOGÃO 5301 . Categoria: BRINQUEDOS > BRINCADEIRAS_E_FAZ_DE_CONTA . Preço final: R$ 54.00 . Descrição do produto: Maleta Fogão Roma Jensen 5301 Plástico Tamanho 14,5cm Rosa e Lilás / Garantia do Fabricante:03 Meses / Marca:Roma / Modelo:Maleta Fogão / Cor:Rosa e Lilás / Material:Plástico / Referência do modelo:5301 / Idade recomendada:A partir de 5 anos / Gênero:Menina / Acessórios:Sim / Conteúdo da Embalagem:01 Fogão em formato de maleta, 01 Panela, 01 Frigideira, 02 Copos, 02 Pratos, 02 Colheres, 02 Facas e 02 Garfos / Atenção:Não recomendável para menores de 3 anos por conter peças pequenas que podem ser engolidas / Dimensões (AxLxP):14,5 x 24 x 14 cm / Peso:500g / EAN:7896965253017 / Aviso: / . Avaliado por 980 clientes, com nota média de 4.8 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""qualidade"",""resistência"",""diversão"",""praticidade"",""custo-benefício"",""design bonito"",""variedade de acessórios"",""educativo""],""Caracteristicas_Negativas"":[""fragilidade"",""preço alto"",""quebras"",""material inferior""]} . Clientes também compraram: 140971 - BONECA MATTEL BB FASHION T7439 SORT, 214123 - CESTA ELKA LOL PICNIC NO PARQUE 1197, 231394 - KIT LIVRO DE COLORIR POSTER+GIZ DE CERA ."
136610,JG ESTRELA SB IMOBILIÁRIO 1201602800034,"JG ESTRELA SB IMOBILIÁRIO 1201602800034 . Categoria: BRINQUEDOS > JOGOS_DIVERSOS_BRINQUEDOS . Preço final: R$ 269.00 . Descrição do produto: Jogo Banco Imobiliário Estrela / Garantia do Fabricante:03 Meses / Marca:Estrela / Modelo:Super Banco Imobiliário / Referência:1201602800034 / Material:Cartonado / Faixa Etária:A partir de 8 anos / Número de Participantes:2 a 6 / EAN:7896027539936 / Aviso: . Avaliado por 328 clientes, com nota média de 4.9 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""diversão"",""qualidade"",""praticidade"",""interatividade"",""educação"",""entretenimento"",""dinamismo"",""satisfação"",""acessibilidade"",""recomendação""],""Caracteristicas_Negativas"":[""fragilidade"",""preço alto"",""tedio"",""dificuldade de finalização""]} . Clientes também compraram: 179996 - JG MATTEL CARTAS UNO ORIGINAL W2085, 222463 - JG COPAG PERGUNTADOS 30841, 200968 - JG HASBRO JENGA A2120 ."
136826,CARRO ROMA BRUTALE CONSTRUCTION 1520,"CARRO ROMA BRUTALE CONSTRUCTION 1520 . Categoria: BRINQUEDOS > CARRINHOS_CIA . Preço final: R$ 104.00 . Descrição do produto: Caminhão e Escavadeira de Brinquedo Brutale Construction 1520.. Garantia do Fabricante:03 meses. Marca:Roma. Linha:Brutale Construction. Modelo:Caminhão. Referência:1520. Cor:Vermelho. Material:Plástico. Faixa Etária:A partir de 5 anos. Informações Adicionais:O Brutale Construction é um caminhão que acompanha uma escavadeira. Possui alavancas que comandam a escavadeira e sua articulação da pá, braço. Conteúdo da Embalagem:01 caminhão e 01 escavadeira. Peso do Produto:1,11 kg. EAN:7896965215206. Aviso: . Avaliado por 601 clientes, com nota média de 4.8 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""qualidade"",""resistência"",""diversão"",""segurança"",""recomendação"",""atendimento"",""preço bom"",""material bom"",""educativo""],""Caracteristicas_Negativas"":[""fragilidade"",""material simples"",""insatisfação"",""preço alto""]} . Clientes também compraram: 107672 - PICK-UP ROMA VISION C/MOTO 1115, 136825 - CARRO ROMA BRUTALE BOMBEIRO 1510, 231394 - KIT LIVRO DE COLORIR POSTER+GIZ DE CERA, 229882 - CARRO ROMA TRUCK FORA DA ESTRADA 1323, 229879 - CARRO ROMA BRUTALE BETONEIRA 1535 AM ."
140972,BONECA MATTEL BB GLITTER T7580 SORT,"BONECA MATTEL BB GLITTER T7580 SORT . Categoria: BRINQUEDOS > BONECAS . Preço final: R$ 58.00 . Descrição do produto: Boneca Barbie Glitter Mattel Plástico T7580 Cores Sortidas / Garantia do Fabricante:03 Meses / Marca:Estrela / Modelo:Barbie Glitter / Referência:T7580 / Material:Plástico / Faixa Etária:A partir de 5 anos / Conteúdo da Embalagem:01 Boneca Barbie / Dimensão dos Produtos:30 x 8,5 x 4,5 cm / Peso:100g / EAN:27084930696 / Aviso: / Atenção:Modelos sortidos vendidos de acordo com a disponibilidade em estoque. Não é possível escolher o modelo em nossa loja online . Avaliado por 313 clientes, com nota média de 4.9 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""qualidade"",""design bonito"",""resistência"",""preço acessível"",""satisfação"",""atendimento excelente"",""opção de presente"",""diversão""],""Caracteristicas_Negativas"":[""fragilidade"",""insatisfação com entrega"",""delicadeza""]} . Clientes também compraram: 140971 - BONECA MATTEL BB FASHION T7439 SORT, 221781 - BONECA MATTEL BB PRINCESAS HGR00 SORT, 230113 - BONECA MATTEL BB MODA PRAIA DWJ99 SORT, 188821 - BONECA MATTEL BB FAM CHELSEA DWJ33 SORT, 237127 - BONECA MATTEL BB BAILARINAS HRG33 SORT ."
144133,BRINQ LÍDER FOFOMÓVEL CARROS 049,"BRINQ LÍDER FOFOMÓVEL CARROS 049 . Categoria: BRINQUEDOS > ACESSORIOS_BRINQUEDO . Preço final: R$ 119.00 . Descrição do produto: Brinquedo Líder Fofomóvel Carros Relâmpago McQueen 049 / Garantia do Fabricante:03 meses / Marca:Líder / Modelo:Fofomóvel Relâmpago McQueen / Referência:049 / Cor:Vermelho / Material:Vinil atóxico e plástico atóxico / Característica:Macio, super Colorido e com rodas que giram de verdade / Faixa Etária:A partir de 04 meses / Conteúdo da Embalagem:Contém 01 carro da Disney Pixar / Altura do Produto:18 cm / Dimensões da Embalagem (AxLxP):24,0 x 20,0 x 29 cm / Peso:1,277 kg / EAN:7898125110499 / Aviso: . Avaliado por 13 clientes, com nota média de 5.0 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""perfeição"",""alta qualidade"",""durabilidade"",""segurança"",""acessibilidade"",""satisfação""],""Caracteristicas_Negativas"":[]} . Clientes também compraram: 214180 - CARRO LIDER FOFOMÓVEL CARS TOW MAT 2852, 182849 - CJ 12P PRAIA BELFIX 195400 COL, 231394 - KIT LIVRO DE COLORIR POSTER+GIZ DE CERA ."
